epoch,error,accuracy
1,0.40211363918247356,0.25
2,0.3759971532124956,0.25
3,0.372483092054801,0.5
4,0.37204547854255554,0.25
5,0.37150180398001165,0.25
6,0.3699599664830603,0.5
7,0.3691731913505807,0.5
8,0.36747041339999925,0.5
9,0.36631111548052353,0.5
10,0.36395905935231615,0.5
11,0.3627009838744345,0.25
12,0.3601604747929068,0.75
13,0.3575498995479076,0.5
14,0.35392969093958393,0.75
15,0.3515072955547049,0.5
16,0.3471198581691268,0.75
17,0.34085177684370327,0.75
18,0.33631049872978647,0.5
19,0.3302071695663485,0.75
20,0.3223091679248627,0.75
21,0.3144203268468795,0.75
22,0.3057875558139926,0.75
23,0.29769242852041,0.75
24,0.28746771898977763,0.75
25,0.2783792464381337,0.75
26,0.2687543096516808,0.75
27,0.2587109833483401,0.75
28,0.24970109455793968,0.75
29,0.23964824565575932,0.75
30,0.23007308085543857,0.75
31,0.22191780237298553,1.0
32,0.21518583724267837,1.0
33,0.20639946650210916,1.0
34,0.2007687105280175,0.75
35,0.19279655699178522,1.0
36,0.18720029533764537,1.0
37,0.18171819417002166,0.75
38,0.17605721057970153,0.75
39,0.17153622314746458,1.0
40,0.16845796195773727,0.75
41,0.16337903224506484,1.0
42,0.15966368815620005,0.75
43,0.15570225113206354,1.0
44,0.15259869111615615,1.0
45,0.14977450138094203,1.0
46,0.14683756465529846,1.0
47,0.14388362600793214,1.0
48,0.14158518594998057,1.0
49,0.1404444301224511,0.75
50,0.13713057785979643,1.0
51,0.13416395556185948,1.0
52,0.13209978343858206,1.0
53,0.13005666328300253,1.0
54,0.1272544671985922,1.0
55,0.1253940198563725,1.0
56,0.1233734207107681,1.0
57,0.12091105360945076,1.0
58,0.12064461738189314,1.0
59,0.11770396960304012,1.0
60,0.11431401995127635,1.0
61,0.11256064093721074,1.0
62,0.11109396015985779,1.0
63,0.10809618036543342,1.0
64,0.10626400891467999,1.0
65,0.10358285772364197,1.0
66,0.10155438904527075,1.0
67,0.09979510533283958,1.0
