epoch,error,accuracy
10,0.36395905935231615,0.5
20,0.3223091679248627,0.75
30,0.23007308085543857,0.75
40,0.16845796195773727,0.75
50,0.13713057785979643,1.0
60,0.11431401995127635,1.0
70,0.09332225302452488,1.0
80,0.07412074119316765,1.0
90,0.058413695211830444,1.0
100,0.04720586131363202,1.0
110,0.03867584443067678,1.0
120,0.032540475178314765,1.0
130,0.027991502888268047,1.0
140,0.02439147862632372,1.0
150,0.02155267114680003,1.0
160,0.019224739343204858,1.0
170,0.01731036035501899,1.0
180,0.01568990700341458,1.0
190,0.014329717437192753,1.0
200,0.013162872701726709,1.0
210,0.012158746173152683,1.0
220,0.01127701997742347,1.0
230,0.010505968460367946,1.0
240,0.009822867261771109,1.0
250,0.009212348578139065,1.0
260,0.008670249000867845,1.0
270,0.008182179964064097,1.0
280,0.00774184300553043,1.0
290,0.007341052012769005,1.0
300,0.006975723587716102,1.0
310,0.006646408085326605,1.0
320,0.006340441959840999,1.0
330,0.006062073337635145,1.0
340,0.005803725746023971,1.0
350,0.005567610995570344,1.0
360,0.005346640538081189,1.0
370,0.005140998751810312,1.0
380,0.004950128838143234,1.0
390,0.0047719710183952236,1.0
400,0.004605909008652541,1.0
410,0.004449914567668193,1.0
420,0.004304191647669267,1.0
430,0.004166173334617632,1.0
440,0.00403666322762712,1.0
450,0.003914636247467077,1.0
460,0.0037992109421951708,1.0
470,0.0036905142153553457,1.0
480,0.003586609775332516,1.0
490,0.003489206793706656,1.0
500,0.003395872066036993,1.0
510,0.0033074492401001174,1.0
520,0.003223293663136134,1.0
530,0.003143048188905662,1.0
540,0.003067005484366382,1.0
550,0.002993891980313159,1.0
560,0.0029240665813725715,1.0
570,0.002857413652475365,1.0
580,0.0027935458310493575,1.0
590,0.0027322676845445786,1.0
600,0.0026738657805343187,1.0
610,0.002617625725622789,1.0
620,0.0025635468241949873,1.0
630,0.0025115215501783964,1.0
640,0.002461629793615713,1.0
650,0.0024135219577848346,1.0
660,0.0023672216991850797,1.0
670,0.0023227295522328236,1.0
680,0.0022796535615424297,1.0
690,0.0022383164839046635,1.0
700,0.002198280625124213,1.0
710,0.002159408553518453,1.0
720,0.002122071863338874,1.0
730,0.0020860082786760027,1.0
740,0.0020509325021740798,1.0
750,0.0020170759029541677,1.0
760,0.0019843482876888904,1.0
770,0.0019525724923631898,1.0
780,0.0019217358751673667,1.0
790,0.0018919837929148873,1.0
800,0.0018629313849286317,1.0
810,0.0018348401486099491,1.0
820,0.0018076470225147825,1.0
830,0.0017809980925508077,1.0
840,0.0017552514670726078,1.0
850,0.0017302108546453198,1.0
860,0.0017058605993171313,1.0
870,0.001682182037044996,1.0
880,0.0016591396348679779,1.0
890,0.0016367188146166121,1.0
900,0.0016148213227782098,1.0
910,0.0015934734679870105,1.0
920,0.0015727165737486574,1.0
930,0.0015524969568051481,1.0
940,0.0015327865995786727,1.0
950,0.0015135518670439788,1.0
960,0.001494749123898936,1.0
970,0.0014764456615266302,1.0
980,0.0014585425488005282,1.0
990,0.0014410762911837931,1.0
1000,0.0014240806629752822,1.0
1010,0.0014073905532619546,1.0
1020,0.00139112668633898,1.0
1030,0.0013752212232943785,1.0
1040,0.0013595952520384052,1.0
1050,0.001344364812317971,1.0
1060,0.001329501108682172,1.0
1070,0.0013149414237264507,1.0
1080,0.0013007076282899972,1.0
1090,0.001286708178251176,1.0
1100,0.0012730680304181429,1.0
1110,0.0012596900310548826,1.0
1120,0.0012465785058617912,1.0
1130,0.0012337682759087786,1.0
1140,0.0012211631764187237,1.0
1150,0.001208875498779594,1.0
1160,0.0011967336270065907,1.0
1170,0.0011849084049808962,1.0
1180,0.001173280259687081,1.0
1190,0.0011619060919127633,1.0
1200,0.0011507339593063637,1.0
1210,0.0011397208831658082,1.0
1220,0.0011289763401211442,1.0
1230,0.0011184158467130857,1.0
1240,0.0011080206791454492,1.0
1250,0.0010978507463976171,1.0
1260,0.001087856808215261,1.0
1270,0.0010780372658536672,1.0
1280,0.0010683913304842497,1.0
1290,0.0010589380715941635,1.0
1300,0.0010496042136612445,1.0
1310,0.0010404761172801286,1.0
1320,0.0010314752750691424,1.0
1330,0.0010226335954404914,1.0
1340,0.0010139185326143432,1.0
1350,0.0010053720503901123,1.0
