epoch,error,accuracy
10,0.37033085690246953,0.75
20,0.3652826240273141,0.75
30,0.35583988991225013,0.75
40,0.3380371839016603,0.75
50,0.3089669810380504,0.75
60,0.271808873091673,0.75
70,0.2345652404130823,0.75
80,0.20255974604184523,1.0
90,0.17828705461245337,1.0
100,0.16039591764420524,1.0
110,0.14673599766203724,1.0
120,0.1354043485551394,1.0
130,0.12512910832325277,1.0
140,0.11544830314110334,1.0
150,0.10593590110932505,1.0
160,0.0968343137405106,1.0
170,0.08813092562375827,1.0
180,0.0799958922400325,1.0
190,0.07250984421869149,1.0
200,0.06575057718714852,1.0
210,0.05971099775579178,1.0
220,0.05440589930851326,1.0
230,0.049754559870600894,1.0
240,0.04569322423829492,1.0
250,0.04213090396388841,1.0
260,0.03900364318852975,1.0
270,0.036237894470784196,1.0
280,0.03379143459596663,1.0
290,0.03161154435165396,1.0
300,0.029659813605064957,1.0
310,0.0279053627049487,1.0
320,0.02632014041980294,1.0
330,0.024882954675232875,1.0
340,0.02357576082517187,1.0
350,0.02238190363393798,1.0
360,0.021289320660250556,1.0
370,0.02028565708541987,1.0
380,0.019361291488470243,1.0
390,0.018507638131664166,1.0
400,0.017717030620322753,1.0
410,0.016984009997884006,1.0
420,0.01630254862271008,1.0
430,0.01566781097380541,1.0
440,0.015075219573501603,1.0
450,0.01452110250019704,1.0
460,0.014001756249771373,1.0
470,0.013514607719869304,1.0
480,0.0130567855445376,1.0
490,0.012625858056671983,1.0
500,0.012219690034581262,1.0
510,0.011836245406612492,1.0
520,0.01147381831770815,1.0
530,0.011130805591459863,1.0
540,0.010805879711785598,1.0
550,0.010497630300491589,1.0
560,0.010204927964136247,1.0
570,0.009926684815879765,1.0
580,0.009661842655238746,1.0
590,0.009409560996660267,1.0
600,0.00916900903457911,1.0
610,0.008939440648810046,1.0
620,0.008720121324942412,1.0
630,0.008510467850868654,1.0
640,0.008309832234754826,1.0
650,0.008117720430442229,1.0
660,0.007933606588283805,1.0
670,0.007757023710638777,1.0
680,0.007587571730744195,1.0
690,0.007424783754161234,1.0
700,0.00726834454260994,1.0
710,0.00711790774215986,1.0
720,0.006973160410088412,1.0
730,0.006833734544008373,1.0
740,0.006699408745270185,1.0
750,0.006569900819407811,1.0
760,0.00644499678718518,1.0
770,0.006324406967423145,1.0
780,0.006207981959651933,1.0
790,0.006095507772192487,1.0
800,0.005986778751794569,1.0
810,0.005881606838534849,1.0
