epoch,error,accuracy
1,0.4732979037909079,0.25
2,0.4595794590740178,0.25
3,0.4475977737468826,0.25
4,0.4374189447942899,0.25
5,0.4285291677353798,0.25
6,0.42086894880242176,0.25
7,0.414425035569819,0.25
8,0.4088326263779263,0.25
9,0.4039876988853285,0.25
10,0.399851919612659,0.25
11,0.3962425939020701,0.25
12,0.39319541412851566,0.25
13,0.3905417669824025,0.25
14,0.3882421790650443,0.25
15,0.3862056093535988,0.25
16,0.3844299568417576,0.25
17,0.38289305142842056,0.25
18,0.3815481178342935,0.25
19,0.38034783487341334,0.25
20,0.3793082123805479,0.25
21,0.37838793466080267,0.25
22,0.37758380778798484,0.25
23,0.3768550756461285,0.25
24,0.3762152564024333,0.25
25,0.375643726281258,0.25
26,0.37512236033741864,0.25
27,0.37464997919715615,0.25
28,0.37421970035240504,0.25
29,0.3738393329467998,0.25
30,0.3734945246720133,0.25
31,0.37317904523290457,0.25
32,0.3728817235584253,0.25
33,0.3726125971157436,0.5
34,0.3723615191840103,0.5
35,0.3721281828527251,0.5
36,0.37191503474785925,0.5
37,0.37171744560864983,0.5
38,0.3715282712940138,0.5
39,0.37134840589724527,0.75
40,0.37117961362788376,0.75
41,0.3710214214369899,0.75
42,0.37086666723497985,0.75
43,0.37071884067667077,0.75
44,0.3705771791266216,0.75
45,0.3704427395720558,0.75
46,0.3703114855750423,0.75
47,0.3701832827440315,0.75
48,0.37005939140400856,0.75
49,0.3699373264267751,0.75
50,0.36981432133379344,0.75
51,0.369692603919476,0.75
52,0.3695748759981258,0.75
53,0.369456644248473,0.75
54,0.36933993313959973,0.75
55,0.3692247463290253,0.75
56,0.36911079503288263,0.75
57,0.36899585481484526,0.75
58,0.3688795316504403,0.75
59,0.36876355563653856,0.75
60,0.3686472746979338,0.75
61,0.36853181891906944,0.75
62,0.36841503043308055,0.75
63,0.3682962983872867,0.75
64,0.36817820139750435,0.75
65,0.3680578506742745,0.75
66,0.3679367584451941,0.75
67,0.3678155116391064,0.75
68,0.3676917590601002,0.75
69,0.3675675867150764,0.75
70,0.36744176316716054,0.75
71,0.3673147345635934,0.75
72,0.3671857946711735,0.75
73,0.3670553899085728,0.75
74,0.36692378988560104,0.75
75,0.36679073418556074,0.75
76,0.36665527372392837,0.75
77,0.36651835851455405,0.75
78,0.36637982478552544,0.75
79,0.3662391792215158,0.75
80,0.366096744948048,0.75
81,0.36595216601023894,0.75
82,0.3658053268368245,0.75
83,0.36565692185000914,0.75
84,0.3655061796564018,0.75
85,0.36535360075130274,0.75
86,0.3651983624466856,0.75
87,0.3650412249431391,0.75
88,0.36488138370788314,0.75
89,0.36471924204226913,0.75
90,0.3645551280567404,0.75
91,0.36438877244489165,0.75
92,0.364219497489518,0.75
93,0.36404826600832957,0.75
94,0.3638743366450664,0.75
95,0.36369791272197977,0.75
96,0.36351811056561556,0.75
97,0.36333656341720594,0.75
98,0.36315224099230353,0.75
99,0.3629653265954279,0.75
100,0.3627745980195525,0.75
101,0.36258196229283823,0.75
102,0.36238669062831086,0.75
103,0.3621884397863793,0.75
104,0.3619864052521351,0.75
105,0.3617815261420367,0.75
106,0.36157380804965455,0.75
107,0.3613625872111532,0.75
108,0.3611484398965216,0.75
109,0.360931478020561,0.75
110,0.36071178098468665,0.75
111,0.3604881218805973,0.75
112,0.36026095203750197,0.75
113,0.3600297152578926,0.75
114,0.35979556774594773,0.75
115,0.3595581549341901,0.75
116,0.3593180995429213,0.75
117,0.3590732423394345,0.75
118,0.35882482482957595,0.75
119,0.3585735181252531,0.75
120,0.35831822033672045,0.75
121,0.35805855933252034,0.75
122,0.35779590646692633,0.75
123,0.35752887465332633,0.75
124,0.35725818126666037,0.75
125,0.3569832934745949,0.75
126,0.356704681948495,0.75
127,0.3564221903663155,0.75
128,0.35613548845341286,0.75
129,0.35584471799868456,0.75
130,0.35555019065337573,0.75
131,0.3552516693967704,0.75
132,0.35494825640939465,0.75
133,0.35464050999164287,0.75
134,0.35432862391349174,0.75
135,0.3540120243415157,0.75
136,0.35369064199339084,0.75
137,0.35336389972696036,0.75
138,0.35303351275385597,0.75
139,0.35269872838273625,0.75
140,0.3523593103774775,0.75
141,0.3520145157664267,0.75
142,0.3516644674954557,0.75
143,0.35130988349808845,0.75
144,0.35095079980880006,0.75
145,0.35058732710545915,0.75
146,0.3502178741793641,0.75
147,0.3498436590724888,0.75
148,0.3494648228540783,0.75
149,0.34908084789549115,0.75
150,0.34869078528018776,0.75
151,0.3482958125554409,0.75
152,0.347895856091876,0.75
153,0.34749051543458936,0.75
154,0.3470799088510942,0.75
155,0.3466652855358614,0.75
156,0.34624401372028274,0.75
157,0.3458175163837986,0.75
158,0.34538564975092434,0.75
159,0.34494804292688686,0.75
160,0.3445047876893639,0.75
161,0.34405692180236547,0.75
162,0.3436021992251195,0.75
163,0.34314320157441214,0.75
164,0.3426773089313888,0.75
165,0.34220744877418463,0.75
166,0.3417307928768284,0.75
167,0.34124914553170776,0.75
168,0.3407607117705202,0.75
169,0.34026694822728676,0.75
170,0.3397680884532202,0.75
171,0.33926283606832414,0.75
172,0.3387519327216036,0.75
173,0.33823531421835284,0.75
174,0.33771368753561815,0.75
175,0.33718568482025246,0.75
176,0.33665172761046175,0.75
177,0.3361121002556909,0.75
178,0.3355660086548689,0.75
179,0.3350146877481408,0.75
180,0.33445830072647764,0.75
181,0.3338950941014417,0.75
182,0.33332699945152666,0.75
183,0.3327535827461152,0.75
184,0.33217363462274124,0.75
185,0.33158813033139767,0.75
186,0.3309970579057394,0.75
187,0.33040047919074605,0.75
188,0.32979979201028414,0.75
189,0.32919313556203217,0.75
190,0.3285814734141422,0.75
191,0.32796194245097343,0.75
192,0.3273393283793832,0.75
193,0.3267091846148712,0.75
194,0.3260756855456887,0.75
195,0.32543356256333805,0.75
196,0.32478788451027507,0.75
197,0.32413723166260755,0.75
198,0.3234826995995629,0.75
